公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%),年份
2723,美食-KY,31.03,137.96,129.56,98.77,*****,73.56,4.96,15.73,23.2,3.64,1.82,5.83,8.33,64.69,3.03,3.74,64.22,98.29,17.85,103
2727,王品,48.35,165.05,133.22,72.58,,100.97,3.61,4.16,87.74,5.41,1.76,9.54,17.95,154.96,5.25,9.14,31.22,79.31,5.79,103
2729,瓦城,18.22,245.32,345.66,320.56,339.93,19.2,19.01,18.67,19.55,3.91,1.32,11.95,14.36,131.1,8.72,10.89,117.2,76.25,10.48,103
2732,六角,39.32,277.18,239.76,210,77.75,7.46,48.92,9.93,36.75,6.32,1.64,3.93,25.24,0.71,9.45,5.71,74.73,116.89,19.11,103
2723,美食-KY,37.41,144.66,158.91,128.92,*****,80.56,4.53,14.93,24.44,3.85,1.66,10.6,16.12,111.25,5.7,8.07,72.54,118.38,18.99,104
2727,王品,51.3,164.18,125.12,75.43,8493.7,113.13,3.22,3.89,93.83,5.88,1.82,2.45,4.8,47.06,1.35,0.45,41.63,84.73,16.18,104
1268,漢來美食,56.34,188.81,114.89,46.52,37.11,34.01,10.73,31.5,11.58,4.82,1.19,8.45,21.94,75.23,6.26,6.13,32.11,195.33,17.97,104
2729,瓦城,19.73,189.92,290.28,259.46,271.38,21.15,17.25,17.53,20.82,3.99,1.54,12.51,15.39,145.15,8.08,12,107.57,75.84,8.83,104
2732,六角,33.93,239.4,203.35,183.03,68.52,7.98,45.73,9.88,36.94,5.33,1.47,3.13,19.32,62.06,8.36,5.06,53.93,104.07,11.81,104
2723,美食-KY,35.49,179.56,171.02,147.08,15086.94,82.06,4.44,14.06,25.96,4.36,1.64,13.9,21.67,161.69,8.09,11.75,80.09,120.06,20.03,105
2727,王品,48.76,208.71,147.06,113.93,,92.28,3.95,5.3,68.86,6.73,1.73,5.83,11.67,103.3,3.36,4.2,51.63,101.76,25.93,105
1268,漢來美食,54.27,199.59,119.33,88.66,113.86,31.28,11.66,28.97,12.59,5.23,1.26,9.82,21.75,89.58,7.74,7.3,37.09,151.72,23.07,105
