年份,公司代號,公司簡稱,財務結構-負債佔資產比率(%),成長能力-營收成長率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金再投資比率(%)
103,2723,美食-KY,31.03,18.57,129.56,98.77,*****,73.56,4.96,5.83,8.33,3.03,3.74,64.22,17.85
103,2727,王品,48.35,13.68,133.22,72.58,,100.97,3.61,9.54,17.95,5.25,9.14,31.22,5.79
103,2729,瓦城,18.22,25.92,345.66,320.56,339.93,19.2,19.01,11.95,14.36,8.72,10.89,117.2,10.48
103,2732,六角,39.32,22.37,239.76,210.0,77.75,7.46,48.92,3.93,25.24,9.45,5.71,74.73,19.11
104,2723,美食-KY,37.41,14.15,158.91,128.92,*****,80.56,4.53,10.6,16.12,5.7,8.07,72.54,18.99
104,2727,王品,51.3,-0.48,125.12,75.43,8493.70,113.13,3.22,2.45,4.8,1.35,0.45,41.63,16.18
104,1268,漢來美食,56.34,16.14,114.89,46.52,37.11,34.01,10.73,8.45,21.94,6.26,6.13,32.11,17.97
104,2729,瓦城,19.73,18.83,290.28,259.46,271.38,21.15,17.25,12.51,15.39,8.08,12.0,107.57,8.83
104,2732,六角,33.93,16.97,203.35,183.03,68.52,7.98,45.73,3.13,19.32,8.36,5.06,53.93,11.81
105,2723,美食-KY,35.49,7.77,171.02,147.08,15086.94,82.06,4.44,13.9,21.67,8.09,11.75,80.09,20.03
105,2727,王品,48.76,-4.37,147.06,113.93,,92.28,3.95,5.83,11.67,3.36,4.2,51.63,25.93
105,1268,漢來美食,54.27,22.24,119.33,88.66,113.86,31.28,11.66,9.82,21.75,7.74,7.3,37.09,23.07
105,2729,瓦城,18.94,11.61,212.22,184.33,276.05,19.97,18.27,13.24,16.42,7.92,13.12,120.68,9.46
105,2732,六角,40.16,26.84,271.01,236.91,19.76,10.11,36.1,2.85,17.27,7.63,4.82,81.06,11.05
106,2723,美食-KY,37.2,4.41,156.46,132.7,11627.32,79.6,4.58,15.03,23.42,9.36,13.12,63.94,18.16
106,2727,王品,48.79,-1.81,156.51,125.38,,70.75,5.15,6.97,15.72,4.19,6.01,36.81,14.98
106,1268,漢來美食,40.65,5.60,168.47,134.93,206.39,29.58,12.33,9.17,17.14,7.94,7.47,21.86,2.97
106,2729,瓦城,18.91,6.57,222.16,188.37,280.35,17.81,20.49,13.88,17.06,7.99,14.12,116.99,8.0
106,2732,六角,42.88,19.26,137.17,116.9,26.91,11.36,32.13,2.55,16.84,7.42,5.02,37.9,12.1
107,2723,美食-KY,35.18,4.76,136.38,113.07,8752.97,71.63,5.09,10.5,16.27,6.88,9.26,63.47,16.93
107,2727,王品,52.79,3.03,128.84,89.22,97286.26,58.0,6.29,4.2,11.6,2.47,4.52,22.73,6.72
107,1268,漢來美食,46.08,6.63,136.06,110.54,687.30,25.03,14.58,7.84,13.77,6.58,6.13,28.59,4.21
107,2729,瓦城,21.46,4.72,189.26,159.43,278.10,16.76,21.77,14.26,17.81,8.19,15.17,126.09,11.19
107,2732,六角,44.42,54.37,115.45,92.69,30.47,14.53,25.12,8.04,13.75,4.91,4.46,45.25,26.87
108,2723,美食-KY,54.82,-3.97,103.99,89.8,669.39,74.86,4.87,5.67,9.03,4.04,5.18,65.5,34.67
108,2727,王品,65.99,-0.33,85.55,59.46,640.03,63.21,5.77,3.72,10.5,2.15,4.77,37.87,43.4
108,1268,漢來美食,62.33,9.14,141.45,117.18,12.19,24.08,15.15,8.35,17.49,7.06,7.2,47.58,11.92
108,2729,瓦城,63.9,13.92,177.49,162.08,17.29,18.43,19.8,9.02,17.37,7.31,15.51,102.11,17.33
108,2732,六角,49.93,28.52,161.27,141.18,27.24,17.04,21.42,13.23,24.31,8.73,9.7,93.13,47.11
109,2723,美食-KY,51.88,-15.02,110.52,97.41,711.38,63.37,5.75,5.19,9.56,5.07,5.64,54.52,22.82
109,2727,王品,69.16,-6.15,96.16,66.35,409.82,64.91,5.62,2.65,7.45,1.68,4.61,38.44,36.49
109,1268,漢來美食,61.76,-8.37,143.52,120.7,12.68,23.22,15.71,6.97,17.04,8.08,7.51,43.5,9.39
109,2729,瓦城,61.82,-5.89,108.29,101.68,13.91,16.96,21.52,6.7,16.81,7.81,15.95,69.06,22.51
109,2732,六角,54.01,-15.85,121.73,103.5,5.98,14.93,24.44,4.06,7.46,3.66,3.08,23.91,3.82
110,2723,美食-KY,47.54,0.92,134.19,117.54,906.31,62.06,5.88,5.59,9.91,5.39,6.07,58.04,17.66
